Best Timing:
Time: 0 Node: Dummy Root
Time: 1 Node: 75 Name: 75`
Time: 2 Node: 76 Name: 76
Time: 3 Node: 21 Name: 21`
Time: 4 Node: 74 Name: 74`
Time: 5 Node: 72 Name: 72`
Time: 6 Node: 71 Name: 71`
Time: 7 Node: 70 Name: 70`
Time: 8 Node: 62 Name: 62`
Time: 9 Node: 60 Name: 60`
Time: 10 Node: 53 Name: 53`
Time: 11 Node: 52 Name: 52`
Time: 12 Node: 15 Name: 15`
Time: 13 Node: 51 Name: 51`
Time: 14 Node: 24 Name: 24`
Time: 15 Node: 27 Name: 27`
Time: 16 Node: 50 Name: 50`
Time: 17 Node: 14 Name: 14`
Time: 18 Node: 69 Name: 69`
Time: 19 Node: 20 Name: 20`
Time: 20 Node: 12 Name: 12`
Time: 21 Node: 11 Name: 11`
Time: 22 Node: 2 Name: 2`
Time: 23 Node: 18 Name: 18`
Time: 24 Node: 67 Name: 67`
Time: 25 Node: 66 Name: 66`
Time: 26 Node: 42 Name: 42`
Time: 27 Node: 41 Name: 41`
Time: 28 Node: 38 Name: 38`
Time: 29 Node: 37 Name: 37`
Time: 30 Node: 32 Name: 32`
Time: 31 Node: 59 Name: 59`
Time: 32 Node: 31 Name: 31`
Time: 33 Node: 56 Name: 56`
Time: 34 Node: 47 Name: 47`
Time: 35 Node: 46 Name: 46`
Time: 36 Node: 6 Name: 6`
Time: 37 Node: 36 Name: 36`
Time: 38 Node: 9 Name: 9`
Time: 39 Node: H2
Time: 39 Node: H3
Time: 39 Node: H37
Time: 39 Node: H18
Time: 39 Node: H19
Time: 39 Node: H47
Time: 39 Node: H48
Time: 39 Node: H20
Time: 39 Node: H15
Time: 39 Node: H41
Time: 39 Node: H42
Time: 39 Node: H31
Time: 39 Node: H23
Time: 39 Node: H24
Time: 39 Node: H4
Time: 39 Node: H5
Time: 39 Node: H40
Time: 39 Node: H43
Time: 39 Node: H44
Time: 39 Node: H33
Time: 39 Node: H45
Time: 39 Node: H46
Time: 39 Node: H10
Time: 39 Node: H11
Time: 39 Node: H32
Time: 39 Node: H38
Time: 39 Node: H39
Time: 39 Node: H34
Time: 39 Node: H35
Time: 39 Node: H29
Time: 39 Node: H30
Time: 39 Node: H49
Time: 39 Node: H50
Time: 39 Node: H22
Time: 39 Node: H16
Time: 39 Node: H27
Time: 39 Node: H28
Time: 39 Node: H14
Time: 39 Node: H1
Host Tree:
Number of nodes: 77, Number of tips: 39
(2) -> 0; Name: H2 --> (-1) (-1); 
(2) -> 1; Name: H3 --> (-1) (-1); 
(76) -> 2; Name: 2` --> (0) (1); 
(15) -> 3; Name: H37 --> (-1) (-1); 
(6) -> 4; Name: H18 --> (-1) (-1); 
(6) -> 5; Name: H19 --> (-1) (-1); 
(12) -> 6; Name: 6` --> (4) (5); 
(9) -> 7; Name: H47 --> (-1) (-1); 
(9) -> 8; Name: H48 --> (-1) (-1); 
(11) -> 9; Name: 9` --> (7) (8); 
(11) -> 10; Name: H20 --> (-1) (-1); 
(12) -> 11; Name: 11` --> (9) (10); 
(14) -> 12; Name: 12` --> (6) (11); 
(14) -> 13; Name: H15 --> (-1) (-1); 
(15) -> 14; Name: 14` --> (12) (13); 
(21) -> 15; Name: 15` --> (3) (14); 
(18) -> 16; Name: H41 --> (-1) (-1); 
(18) -> 17; Name: H42 --> (-1) (-1); 
(20) -> 18; Name: 18` --> (16) (17); 
(20) -> 19; Name: H31 --> (-1) (-1); 
(21) -> 20; Name: 20` --> (18) (19); 
(76) -> 21; Name: 21` --> (15) (20); 
(24) -> 22; Name: H23 --> (-1) (-1); 
(24) -> 23; Name: H24 --> (-1) (-1); 
(72) -> 24; Name: 24` --> (22) (23); 
(27) -> 25; Name: H4 --> (-1) (-1); 
(27) -> 26; Name: H5 --> (-1) (-1); 
(53) -> 27; Name: 27` --> (25) (26); 
(32) -> 28; Name: H40 --> (-1) (-1); 
(31) -> 29; Name: H43 --> (-1) (-1); 
(31) -> 30; Name: H44 --> (-1) (-1); 
(32) -> 31; Name: 31` --> (29) (30); 
(38) -> 32; Name: 32` --> (28) (31); 
(37) -> 33; Name: H33 --> (-1) (-1); 
(36) -> 34; Name: H45 --> (-1) (-1); 
(36) -> 35; Name: H46 --> (-1) (-1); 
(37) -> 36; Name: 36` --> (34) (35); 
(38) -> 37; Name: 37` --> (33) (36); 
(42) -> 38; Name: 38` --> (32) (37); 
(41) -> 39; Name: H10 --> (-1) (-1); 
(41) -> 40; Name: H11 --> (-1) (-1); 
(42) -> 41; Name: 41` --> (39) (40); 
(52) -> 42; Name: 42` --> (38) (41); 
(47) -> 43; Name: H32 --> (-1) (-1); 
(46) -> 44; Name: H38 --> (-1) (-1); 
(46) -> 45; Name: H39 --> (-1) (-1); 
(47) -> 46; Name: 46` --> (44) (45); 
(51) -> 47; Name: 47` --> (43) (46); 
(50) -> 48; Name: H34 --> (-1) (-1); 
